molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3957835,active,7.259637310505756,COc1cnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4cc(F)ccc4F)c3F)c2c1,479.4110000000001,4.159700000000003,2.0,5.0
CHEMBL3903656,active,7.259637310505756,COc1cnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4ccccc4F)c3F)c2c1,461.4210000000001,4.020600000000003,2.0,5.0
CHEMBL1934652,active,7.236572006437063,COc1cncc(-c2nc(NC(C)(C)CO)nc3sc(C(N)=O)c(N)c23)c1,388.45300000000015,1.6258,4.0,9.0
CHEMBL1934641,active,6.454692883534176,COc1cncc(-c2nc(NC3CC3)nc3sc(C(N)=O)c(N)c23)c1,356.4110000000002,2.0172999999999996,3.0,8.0
CHEMBL1934651,active,7.3979400086720375,COc1cncc(-c2nc(N[C@H](C)CO)nc3sc(C(N)=O)c(N)c23)c1,374.42600000000016,1.2357,4.0,9.0
CHEMBL473622,active,7.853871964321762,COc1cncc(NC(=O)c2cc(NC(=O)c3cccc(C(C)(C)C#N)c3)ccc2C)c1,428.4920000000002,4.704400000000003,2.0,5.0
CHEMBL5789488,active,7.162096055407058,COc1cncc(NC(=O)c2ccc(C)c(-c3cc(N4CCOCC4)c(=O)n(C)c3)c2)c1,434.49600000000027,2.853220000000001,1.0,6.0
CHEMBL4582776,active,6.360513510731414,COc1n[nH]c2ncc(-c3cn(-c4c(Cl)ccc(NS(=O)(=O)c5cccc(Cl)c5)c4Cl)nn3)cc12,550.8150000000002,4.975200000000002,2.0,7.0
CHEMBL4444385,active,7.080398976215889,COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NC(=O)Cc5cccc(Cl)c5)c4F)nn3)cc12,495.8770000000001,4.327000000000002,2.0,6.0
CHEMBL4532800,active,7.287350298372789,COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NC(=O)Nc5cccc(Cl)c5)c4F)nn3)cc12,496.86500000000007,4.789800000000002,3.0,6.0
CHEMBL4523007,active,7.943095148663527,COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NC(=O)c5cccc(Cl)c5)c4F)nn3)cc12,481.8500000000001,4.398100000000002,2.0,6.0
CHEMBL4448690,active,6.0675262353228465,COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NS(=O)(=O)c5ccc6ccccc6c5)c4F)nn3)cc12,533.5200000000001,4.446400000000002,2.0,7.0
CHEMBL4450810,active,6.0,COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NS(=O)(=O)c5cccc(-c6ccccc6)c5)c4F)nn3)cc12,559.558,4.960200000000003,2.0,7.0
CHEMBL4542865,active,6.564952358660036,COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NS(=O)(=O)c5cccc(Br)c5)c4F)nn3)cc12,562.356,4.055700000000002,2.0,7.0
CHEMBL4579609,active,6.327625021253921,COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NS(=O)(=O)c5cccc(C#N)c5)c4F)nn3)cc12,508.47000000000014,3.164880000000001,2.0,8.0
CHEMBL4449013,active,6.721246399047171,COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NS(=O)(=O)c5cccc(C(C)C)c5)c4F)nn3)cc12,525.5410000000002,4.4166000000000025,2.0,7.0
CHEMBL4454493,active,6.343901797987168,COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NS(=O)(=O)c5cccc(C)c5)c4F)nn3)cc12,497.48700000000014,3.6016200000000014,2.0,7.0
CHEMBL4524151,active,6.703334809738469,COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NS(=O)(=O)c5cccc(Cl)c5)c4F)nn3)cc12,517.9050000000001,3.946600000000002,2.0,7.0
CHEMBL4468296,active,6.900664722314042,COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NS(=O)(=O)c5cccc6ccccc56)c4F)nn3)cc12,533.5200000000001,4.446400000000002,2.0,7.0
CHEMBL4446003,active,7.4089353929735005,COc1n[nH]c2ncc(-c3cn(-c4c(F)ccc(NS(=O)(=O)c5ccccc5)c4F)nn3)cc12,483.4600000000001,3.2932000000000015,2.0,7.0
CHEMBL4457930,active,6.476253533188435,COc1n[nH]c2ncc(-c3cn(-c4cc(NS(=O)(=O)c5cccc(Cl)c5)ccc4F)nn3)cc12,499.91500000000013,3.807500000000001,2.0,7.0
CHEMBL4476053,active,6.0,COc1n[nH]c2ncc(-c3cn(-c4cccc(NS(=O)(=O)c5cccc(Cl)c5)c4)nn3)cc12,481.9250000000001,3.668400000000002,2.0,7.0
CHEMBL4574656,active,6.0996328713435295,COc1n[nH]c2ncc(-c3cn(-c4cccc(NS(=O)(=O)c5cccc(Cl)c5)c4F)nn3)cc12,499.91500000000013,3.807500000000002,2.0,7.0
CHEMBL4473008,active,6.0,COc1n[nH]c2ncc(-c3nc(-c4c(F)ccc(NS(=O)(=O)c5cccc(Cl)c5)c4F)no3)cc12,518.8890000000001,4.4159000000000015,2.0,8.0
CHEMBL4459658,active,6.0,COc1n[nH]c2ncc(-c3ncc(-c4c(F)ccc(NS(=O)(=O)c5cccc(Cl)c5)c4F)[nH]3)cc12,516.917,4.756000000000002,3.0,6.0
CHEMBL4452568,active,6.0,COc1n[nH]c2ncc(-c3nnc(-c4c(F)ccc(NS(=O)(=O)c5cccc(Cl)c5)c4F)o3)cc12,518.8890000000001,4.415900000000002,2.0,8.0
CHEMBL4069195,inactive,5.259637310505756,COc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4ccc(Cl)cc4)c3F)cc12,474.87600000000015,4.098700000000002,2.0,5.0
CHEMBL4080860,active,6.0,COc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4cccc(Br)c4)c3F)cc12,519.3270000000001,4.207800000000002,2.0,5.0
CHEMBL4098896,inactive,5.259637310505756,COc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4cccc(C#N)c4)c3F)cc12,465.44100000000014,3.316980000000002,2.0,6.0
CHEMBL4104171,inactive,5.0,COc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4cccc(C)c4)c3F)cc12,454.45800000000014,3.753720000000002,2.0,5.0
CHEMBL4096439,active,6.021865152601711,COc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4cccc(Cl)c4)c3F)cc12,474.87600000000015,4.098700000000002,2.0,5.0
CHEMBL4088739,inactive,5.0,COc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4cccc(Cl)c4Cl)c3F)cc12,509.3210000000002,4.752100000000002,2.0,5.0
CHEMBL4080626,inactive,5.29374320687608,COc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4ccccc4)c3F)cc12,440.4310000000001,3.4453000000000014,2.0,5.0
CHEMBL4104859,active,6.0,COc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4ccccc4Cl)c3F)cc12,474.87600000000015,4.098700000000002,2.0,5.0
CHEMBL3582391,active,7.769551078621726,COc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4cccnc4)c3F)cc12,441.4190000000001,2.840300000000001,2.0,6.0
CHEMBL4445595,active,7.494850021680094,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(/N=N/c4ccc(C)cc4)c3F)cc12,422.3950000000001,5.2208200000000025,2.0,6.0
CHEMBL4539692,active,6.494850021680094,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(/N=N/c4ccccc4F)c3F)cc12,426.35800000000006,5.051500000000002,2.0,6.0
CHEMBL4547542,active,8.045757490560675,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(/N=N\c4ccc(C)cc4)c3F)cc12,422.3950000000001,5.2208200000000025,2.0,6.0
CHEMBL4527473,active,6.804100347590766,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(/N=N\c4ccccc4)c3F)cc12,408.36800000000005,4.912400000000002,2.0,6.0
CHEMBL4571674,active,6.267606240177032,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(/N=N\c4ccccc4C)c3F)cc12,422.3950000000001,5.2208200000000025,2.0,6.0
CHEMBL4448871,active,6.180456064458132,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(/N=N\c4ccccc4F)c3F)cc12,426.35800000000006,5.051500000000002,2.0,6.0
CHEMBL2153510,active,7.040243327009005,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NC(=O)c4cccc(C(C)(C)C#N)c4)c3F)cc12,490.4700000000002,4.550480000000003,3.0,6.0
CHEMBL2153509,inactive,5.22043958121048,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NC(=O)c4ccccc4)c3F)cc12,423.3790000000001,3.7493000000000016,3.0,5.0
CHEMBL1822092,active,7.200659450546418,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)C4CC4)c3F)cc12,423.4010000000001,2.4011000000000005,3.0,6.0
